Lp.;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo
12860;CIĘŻKOWICKA 24;32-540;TRZEBINIA;bd
12861;NIESIOŁOWICE 59;83-320;NIESIOŁOWICE;bd
12862;STEFANA BATOREGO 33D/41;80-251;GDAŃSK;bd
12863;KOBIELSKA 11/25;04-359;WARSZAWA;bd
12864;WINCENTEGO STYSIA 20A/23;53-526;WROCŁAW;bd
12865;SOBIESKIEGO 2;47-113;STANISZCZE WIELKIE;bd
12866;SOBIESKIEGO 2;47-113;STANISZCZE WIELKIE;bd
12867;MŁYŃSKA 15;48-133;NOWA CEREKWIA;bd
12868;MŁYŃSKA 15;48-133;NOWA CEREKWIA;bd
12869;KATOWICKA 45H/4;41-600;ŚWIĘTOCHŁOWICE;bd
12870;JÓZEFA PONIATOWSKIEGO 1D/8;41-253;CZELADŹ;bd
12871;PODMIEJSKA 6;42-202;CZĘSTOCHOWA;bd
12872;PODMIEJSKA 6;42-202;CZĘSTOCHOWA;bd
12873;LUBELSKA 20/10;22-170;REJOWIEC FABRYCZNY;bd
12874;ZYGMUNTA WRÓBLEWSKIEGO 5F/9;72-010;POLICE;bd
12875;PARZĘCZEWSKA 38/42;95-100;ZGIERZ;bd
12876;KALISKA 36A/A/13;63-460;NOWE SKALMIERZYCE;bd
12877;KALISKA 36A/A/13;63-460;NOWE SKALMIERZYCE;bd
12878;OPALIŃSKICH 22/8;64-100;LESZNO;bd
12879;JURIJA GAGARINA 20/8;87-100;TORUŃ;bd
12880;UL. LESZKA CZARNEGO 15A/55;97-500;RADOMSKO;bd
12881;JANA PAWŁA II 9/19;39-460;NOWA DĘBA;bd
12882;CZĘSTOCHOWSKA 36;42-244;BRZYSZÓW;bd
12883;LIPOWA 23;73-110;LIPNIK;bd
12884;OSIEDLE KOLONIA 26;62-262;WIERZYCE;bd
12885;DZIAŁKA NR 528/1;64-060;WOLKOWO;bd
12886;MARYNARSKA 7;78-100;KOŁOBRZEG;bd
12887;POPLIŃSKICH 2/17;61-573;POZNAŃ;bd
12888;GRODZISKO 5/13;35-060;RZESZÓW;bd
12889;TYSIĄCLECIA 4/35;32-400;MYŚLENICE;bd
12890;KOPERNIKA 17/63;26-300;OPOCZNO;bd
12891;JASNA 8;64-100;LESZNO;bd
12892;RYNEK 39/5;48-370;PACZKÓW;bd
12893;MODRA 71/0;80-736;GDAŃSK;bd
12894;PONIATOWSKIEGO 9;41-300;DĄBROWA GÓRNICZA;bd
12895;PONIATOWSKIEGO 9;41-300;DĄBROWA GÓRNICZA;bd
12896;SŁOBODA 32;37-304;SŁOBODA;bd
12897;SŁOBODA 32;37-304;SŁOBODA;bd
12898;A.F.MODRZEWSKIEGO 2/2;78-200;BIAŁOGARD;bd
12899;JULIUSZA SŁOWACKIEGO 22;37-450;STALOWA WOLA;bd
12900;SMĘTOWSKA 8;81-203;GDYNIA;bd
12901;SOBIESKIEGO 29/4;43-300;BIELSKO-BIAŁA;bd
12902;GŁÓWNA 63B;44-237;BEŁK;bd
12903;WESOŁA 62A;34-300;ŻYWIEC;bd
12904;MYDLANA 39;32-500;CHRZANÓW;bd
12905;68 PUŁKU PIECHOTY 9G/10;62-300;WRZEŚNIA;bd
12906;POD KICZORĄ 12;34-340;JELEŚNIA;bd
12907;POD KICZORĄ 12;34-340;JELEŚNIA;bd
12908;NIEPODLEGŁOŚCI 156/6;58-303;WAŁBRZYCH;bd
12909;BOKSYCKA 25;27-415;KUNÓW;bd
12910;RYBNICKA 66;43-180;ORZESZE;bd
12911;3 MAJA 52A/3;07-300;OSTRÓW MAZOWIECKA;bd
12912;RADOMSKA 79;26-414;POTWORÓW;bd
12913;WIEJSKA 48;21-500;STYRZYNIEC;bd
12914;PROF. ZDZISŁAWA KIETURAKISA 6/30;80-742;GDAŃSK;bd
12915;PANA TADEUSZA 4/42;20-609;LUBLIN;bd
12916;KANIA 57;88-190;KANIA;bd
12917;PAWIA 17/5;59-300;LUBIN;bd
12918;LEŚNA 15;26-900;KOZIENICE;bd
12919;WROŃSKA 5E/45;20-327;LUBLIN;bd
12920;KRUSZWICKA 41/4;53-652;WROCŁAW;bd
12921;GOŚNIEWSKA 14;05-660;WARKA;bd
12922;SKŁODOWSKIEJ 5A;43-180;ORZESZE;bd
12923;JÓZEFPOLSKA 26;96-320;MSZCZONÓW;bd
12924;ARMII KRAJOWEJ 15;05-075;WARSZAWA;bd
12925;TRACZYKÓWKA 93;34-700;RABKA-ZDRÓJ;bd
12926;DWORCOWA 26A/3;73-110;STARGARD;bd
12927;OSKARA KOLBERGA 17/85;81-881;SOPOT;bd
12928;DĄBROWSKIEGO 38;14-500;BRANIEWO;bd
12929;WRZOSOWA 11/1;84-208;KIELNO;bd
12930;GRUNWALDZKA 573/73;80-339;GDAŃSK;bd
12931;STEFANA OKRZEI 3D/6;73-110;STARGARD;bd
12932;PIĘKNA 6;34-326;PIETRZYKOWICE;bd
12933;PIĘKNA 6;34-326;PIETRZYKOWICE;bd
12934;SUBISŁAWA 23KL.R/11;80-354;GDAŃSK;bd
12935;MARCINA DRAGANA 7/31;80-807;GDAŃSK;bd
12936;ZŁOTEJ KACZKI 1/2;05-500;PIASECZNO;bd
12937;ZŁOTEJ KACZKI 1/2;05-500;PIASECZNO;bd
12938;OS. JANA III SOBIESKIEGO 10/38;60-688;POZNAŃ;bd
12939;SKRUDKI 7A;24-103;SKRUDKI;bd
12940;OSIEDLE WYSZYŃSKIEGO 1/32;98-300;WIELUŃ;bd
12941;KOCKA 55;08-530;DĘBLIN;bd
12942;CYPRYSOWA 9A/6;43-600;JAWORZNO;bd
12943;BOJANICE 9/1;58-113;BOJANICE;bd
12944;UL. PANEWNICKA 335A/60;40-773;KATOWICE;bd
12945;ŚRODKOWA 37/21;96-300;ŻYRARDÓW;bd
12946;NOWA 43A;44-230;CZERWIONKA-LESZCZYNY;bd
12947;LIPOWA 36;08-530;DĘBLIN;bd
12948;WOŁYŃSKA 3/73;22-100;CHEŁM;bd
12949;POLNA 6A;22-500;HRUBIESZÓW;bd
12950;STAWIGUDA 199;11-034;STAWIGUDA;bd
12951;KOPERNIKA 2/1;58-130;ŻARÓW;bd
12952;POLNA 6B;22-500;HRUBIESZÓW;bd
12953;FABRYCZNA 26/9;82-300;ELBLĄG;bd
12954;FURGOŁA 2B/7;44-230;CZERWIONKA-LESZCZYNY;bd
12955;WILKOWICE 123;64-115;WILKOWICE;bd
12956;RYDWĄGI 32;11-700;MRĄGOWO;bd
12957;PARTYZANTÓW 25;84-230;RUMIA;bd
12958;SZTABOWA 31/33/6;53-327;WROCŁAW;bd
12959;JANICKIEGO 9/6;71-270;SZCZECIN;bd
12960;WIERZBIE 27B;22-437;WIERZBIE;bd
12961;OBROŃCÓW POCZTY GDAŃSKIEJ 32/37;35-507;RZESZÓW;bd
12962;DWORCOWA 18/7;86-105;TERESPOL POMORSKI;bd
12963;CEBERTOWICZA 5/1;80-809;GDAŃSK;bd
12964;WOLA STANOMIŃSKA 16;88-133;WOLA STANOMIŃSKA;bd
12965;HOŻA 10D/10;80-628;GDAŃSK;bd
12966;TAMKA 20;80-506;GDAŃSK;bd
12967;WALECZNYCH 11A/9;80-513;GDAŃSK;bd
12968;ŚWIĘTEGO JANA 13/3;44-300;WODZISŁAW ŚLĄSKI;bd
12969;OSTATNIA 3/7/18;95-200;PABIANICE;bd
12970;NAD MOTŁAWĄ 4;83-021;LĘDOWO;bd
12971;NAD MOTŁAWĄ 4;83-021;LĘDOWO;bd
12972;NAD MOTŁAWĄ 4;83-021;LĘDOWO;bd
12973;JARZĄBKOWA 17;62-081;PRZEŹMIEROWO;bd
12974;3 MAJA 50/1;81-850;SOPOT;bd
12975;OSTRÓW 68A;26-060;OSTRÓW;bd
12976;JÓZEFA CHEŁMOŃSKIEGO 2/6;82-300;ELBLĄG;bd
12977;WŁADYSŁAWA KRÓLA 43/21;94-039;ŁÓDŹ;bd
12978;PRZEGALIŃSKA 155;80-690;GDAŃSK;bd
12979;PRZESTRZENNA 24;72-300;GRYFICE;bd
12980;JANA HENRYKA DĄBROWSKIEGO 60/21;60-522;POZNAŃ;bd
12981;KLONOWA 2;23-408;ALEKSANDRÓW;bd
12982;KLONOWA 2;23-408;ALEKSANDRÓW;bd
12983;STANISŁAWA WYSPIAŃSKIEGO 21/1;21-040;ŚWIDNIK;bd
12984;ŻMUDZKA 17/10;85-028;BYDGOSZCZ;bd
12985;LEGIONÓW POLSKICH 24/84;32-700;BOCHNIA;bd
12986;WIŚLAŃSKA 12/1;54-152;WROCŁAW;bd
12987;SZARYCH SZEREGÓW 11B/1;22-100;CHEŁM;bd
12988;GENERAŁA BEMA 1/6;11-220;GÓROWO IŁAWECKIE;bd
12989;BARAK 46C;21-002;BARAK;bd
12990;WINIARSKA 1-3/15;62-800;KALISZ;bd
12991;SPACEROWA 15;32-010;LUBORZYCA;bd
12992;SPACEROWA 15;32-010;LUBORZYCA;bd
12993;JOACHIMA LELEWELA 19C/1;75-450;KOSZALIN;bd
12994;3 MAJA 50/1;81-850;SOPOT;bd
12995;SPORTOWA 20;84-123;POŁCHOWO;bd
12996;KOLEJOWA 9/4;43-502;CZECHOWICE-DZIEDZICE;bd
12997;KLUCZEWO 26/5;64-560;OSTRORÓG;bd
12998;MŁAWSKA 17A/41;87-500;RYPIN;bd
12999;KS. ALEKSANDRA PĘZY 19;19-200;GRAJEWO;bd
13000;KS. ALEKSANDRA PĘZY 19;19-200;GRAJEWO;bd
13001;-44;27-230;BUDY BRODZKIE;bd
13002;SŁONECZNA 3/25;86-140;GRÓDEK;bd
13003;WOJCIECHA JABŁKOWSKIEGO 16/21;62-800;KALISZ;bd
13004;MIESZKA I 19A/23;15-054;BIAŁYSTOK;bd
13005;AL. GEN. JÓZEFA HALLERA 153/5;80-416;GDAŃSK;bd
13006;SZTORMOWA 1A/12;80-121;GDAŃSK;bd
13007;STANISŁAWA DUBOIS 31/3A;50-207;WROCŁAW;bd
13008;MARCINA KASPRZAKA 5/3;82-300;ELBLĄG;bd
13009;ŁYSKOWSKIEGO 4B/3;87-300;BRODNICA;bd
13010;TOPOLA 1/4;63-011;TOPOLA;bd
13011;PAKOSKA 12/11;88-100;INOWROCŁAW;bd
13012;GRĄSINO 12B/4;76-200;GRĄSINO;bd
13013;MARII SKŁODOWSKIEJ-CURIE 21/3;59-300;LUBIN;bd
13014;PODLIPIE 72;32-329;BOLESŁAW;bd
13015;LIPOWA 3/1;64-510;WRONKI;bd
13016;WARSZAWSKA 1/5;41-253;CZELADŹ;bd
13017;CIECIERZYN 59B/2;46-220;CIECIERZYN;bd
13018;DŁUGI KĄT OSADA 1/14;23-460;DŁUGI KĄT-OSADA;bd
13019;OSIEDLE SARNOWA 4;34-220;MAKÓW PODHALAŃSKI;bd
13020;FOLWARKI 65;24-100;GOŁĄB;bd
13021;AL. TYSIĄCLECIA 44/30;34-400;NOWY TARG;bd
13022;SPORTOWA 13;32-851;JADOWNIKI;bd
13023;SPORTOWA 13;32-851;JADOWNIKI;bd
13024;RAŃSK 22;12-120;RAŃSK;bd
13025;FABRYCZNA 4/7;47-300;KRAPKOWICE;bd
13026;ŻMUDZKA 19/26;85-028;BYDGOSZCZ;bd
13027;PIĘKNA 27/1;85-303;BYDGOSZCZ;bd
13028;TADEUSZA KOŚCIUSZKI 6/1;21-040;ŚWIDNIK;bd
13029;PORANEK 4/49;60-338;POZNAŃ;bd
13030;ALEJA WOLNOŚCI 12B/9;67-200;GŁOGÓW;bd
13031;RADZYŃSKA 26;21-150;KOCK;bd
13032;WANDY PAWLIK 15/1;48-300;NYSA;bd
13033;HOŻA 10A/12;80-628;GDAŃSK;bd
13034;SŁAWĘCINEK 15;88-100;INOWROCŁAW;bd
13035;STEFANA ROWECKIEGO 53/8;72-010;POLICE;bd
13036;STAWISZYŃSKA 8;04-938;WARSZAWA;bd
13037;TETMAJERA 1A;86-300;GRUDZIĄDZ;bd
13038;FRAMPOLSKA 27/3;23-450;GORAJ;bd
13039;SŁAJSINO 14;72-200;NOWOGARD;bd
13040;HOŻA 10A/12;80-628;GDAŃSK;bd
13041;PROF. DR. MIECZYSŁAWA MICHAŁOWICZA 50/28;43-300;BIELSKO-BIAŁA;bd
13042;UL. SPÓŁDZIELCÓW 14/13;43-300;BIELSKO-BIAŁA;bd
13043;BYDGOSKA 12/67;62-510;KONIN;bd
13044;GEN WŁADYSŁAWA SIKORSKIEGO 18/2;73-110;STARGARD;bd
13045;KARATOWA 6/4;02-490;WARSZAWA;bd
13046;WIEJSKA 15/A;89-606;CHOJNICZKI;bd
13047;ŻMUDZKA 3;81-554;GDYNIA;bd
13048;3 MAJA 6/49;21-040;ŚWIDNIK;bd
13049;LIPOWA 6/6;59-140;CHOCIANÓW;bd
13050;LIPOWA 6/6;59-140;CHOCIANÓW;bd
13051;SÓL-KICZORA 255;34-370;SÓL-KICZORA;bd
13052;SÓL-KICZORA 255;34-370;SÓL-KICZORA;bd
13053;SKWARNE 15;05-319;SKWARNE;bd
13054;APOLONIUSZA KĘDZIERSKIEGO 8/53;01-493;WARSZAWA;bd
13055;ŁUŻYCKA 17/15;80-809;GDAŃSK;bd
13056;ŁUŻYCKA 17/15;80-809;GDAŃSK;bd
13057;KAZIMIERZA PUŁASKIEGO 42-44/15;58-100;ŚWIDNICA;bd
13058;OSKARA KOLBERGA 17/27;81-881;SOPOT;bd
13059;FILTROWA 52;24-100;PUŁAWY;bd
13060;POLNA 19;55-120;ROŚCISŁAWICE;bd
13061;AL. MARSZ. RYDZA ŚMIGŁEGO 29/19;93-281;ŁÓDŹ;bd
13062;PARKOSZ 46;39-220;PILZNO;bd
13063;SOLIDARNOŚCI 18/35;96-200;RAWA MAZOWIECKA;bd
13064;POLNA 4;24-173;MARKUSZÓW;bd
13065;POLNA 4;24-173;MARKUSZÓW;bd
13066;GRUBNO 42B/14;86-212;GRUBNO;bd
13067;BUKOWA 22;09-402;PŁOCK;bd
13068;BAŻYŃSKIEGO 13/12;82-300;ELBLĄG;bd
13069;RYSIA 24;05-800;PRUSZKÓW;bd
13070;MIŁA 29/4;26-600;RADOM;bd
13071;ŻWIRKI I WIGURY 2A;43-180;ORZESZE;bd
13072;1 MAJA 6A/1;14-200;IŁAWA;bd
13073;MODRZEWIOWA 11/14;59-300;LUBIN;bd
13074;TRZEBNICKA 16/3;50-246;WROCŁAW;bd
13075;TYWONIA 85A;37-500;TYWONIA;bd
13076;GEN. WŁADYSŁAWA SIKORSKIEGO 24;88-100;INOWROCŁAW;bd
13077;GEN. WŁADYSŁAWA SIKORSKIEGO 24/1A;88-100;INOWROCŁAW;bd
13078;GEN. WŁADYSŁAWA SIKORSKIEGO 24/1A;88-100;INOWROCŁAW;bd
13079;GEN. WŁADYSŁAWA SIKORSKIEGO 24/1A;88-100;INOWROCŁAW;bd
13080;AL. STANÓW ZJEDNOCZONYCH 20B/97;03-964;WARSZAWA;bd
13081;WŁADYSŁAWA DZIEWULSKIEGO 5/58;87-100;TORUŃ;bd
13082;MARSZAŁKOWSKA 18/7;42-400;ZAWIERCIE;bd
13083;DESZCZOWA 56A;43-300;BIELSKO-BIAŁA;bd
13084;KARNKOWO 83/V/2;87-600;KARNKOWO;bd
13085;JÓZEFA IGNACEGO KRASZEWSKIEGO 3/1;59-220;LEGNICA;bd
13086;LEŚNA 4;26-680;RUDA WIELKA;bd
13087;OSIEDLE SZKOLNE 1/33;31-975;KRAKÓW;bd
13088;DĘBINY 22A;24-300;DĘBINY;bd
13089;WARNEŃSKA 10 D/9;80-288;GDAŃSK;bd
13090;DAMROKI 15B/1;81-572;GDYNIA;bd
13091;LEDÓCHOWSKIEGO 9D/6;81-189;GDYNIA;bd
13092;KOŚCIUSZKI 6/1;41-100;SIEMIANOWICE ŚLĄSKIE;bd
13093;MROCZKÓW 63;26-120;MROCZKÓW;bd
13094;ZACZERNIE 1052;36-062;ZACZERNIE;bd
13095;HETMAŃSKA 62/116;60-219;POZNAŃ;bd
13096;DWORCOWA 6;22-170;REJOWIEC FABRYCZNY;bd
13097;PIASTOWSKA 100B/32;80-358;GDAŃSK;bd
13098;3 MAJA 18/2;08-110;SIEDLCE;bd
13099;STRUGA 3;11-500;GIŻYCKO;bd
13100;STRUGA 3;11-500;GIŻYCKO;bd
13101;ORŁOWSKA 37G;81-522;GDYNIA;bd
13102;WYSZYŃSKIEGO 20;64-980;TRZCIANKA;bd
13103;WYSZYŃSKIEGO 20;64-980;TRZCIANKA;bd
13104;ROBOTNICZA 105/4;82-300;ELBLĄG;bd
13105;KOTLARSKA 6/4;22-200;WŁODAWA;bd
13106;KOŚCIUSZKI 63;37-632;STARY DZIKÓW;bd
13107;KOŚCIUSZKI 63;37-632;STARY DZIKÓW;bd
13108;GŁÓWNA 6;89-506;PIASTOSZYN;bd
13109;ŁEKAWICA 32A;26-902;GRABÓW NAD PILICĄ;bd
13110;ŁEKAWICA 32A;26-902;GRABÓW NAD PILICĄ;bd
13111;MATEJKI 22/7;43-600;JAWORZNO;bd
13112;PIASTOWSKA 24/3;43-300;BIELSKO-BIAŁA;bd
13113;KOSCIUSZKI 14/5;26-600;RADOM;bd
13114;PAWŁA JANIKA 17/1;41-800;ZABRZE;bd
13115;NAŁĘCZOWSKA 52;24-120;BOCHOTNICA;bd
13116;SÓL 160A;34-370;SÓL;bd
13117;DUSINA 7/3;63-800;DUSINA;bd
13118;SELEDYNOWA 87/6;70-781;SZCZECIN;bd
13119;BISKUPA TOMICKIEGO 13A/47;31-982;KRAKÓW;bd
13120;PRYMASA STEFANA WYSZYŃSKIEGO 39/11;22-400;ZAMOŚĆ;bd
13121;NAŁĘCZOWSKA 52;24-120;BOCHOTNICA;bd
13122;ŁOWISKO 95;36-053;ŁOWISKO;bd
13123;WIELKIE ZAJĄCZKOWO 26/2;86-170;WIELKIE ZAJĄCZKOWO;bd
13124;WIELKIE ZAJĄCZKOWO 26/2;86-170;WIELKIE ZAJĄCZKOWO;bd
13125;MIESZKA I 30/3A;62-200;GNIEZNO;bd
13126;KOBYLANKA 189;38-303;KOBYLANKA;bd
13127;PROKOPA 1/27;41-902;BYTOM;bd
13128;LIBECKIEGO 5/48;86-134;GRUPA;bd
13129;WOŁOWICE 93;32-070;WOŁOWICE;bd
13130;STRAŻACKA 45;44-341;GOŁKOWICE;bd
13131;DZIETRZYCHOWICE 127/2;68-111;DZIETRZYCHOWICE;bd
13132;AKACJOWA 2;47-220;KĘDZIERZYN-KOŹLE;bd
13133;REJOWSKA 34/47;26-110;SKARŻYSKO-KAMIENNA;bd
13134;JACKA MALCZEWSKIEGO 38;83-010;STRASZYN;bd
13135;WOLA BUCHOWSKA 72;37-511;WOLA BUCHOWSKA;bd
13136;WOLA BUCHOWSKA 72;37-511;WOLA BUCHOWSKA;bd
13137;KARD. STEFANA WYSZYŃSKIEGO 35/9;72-010;POLICE;bd
13138;MILLENIUM 18/18;42-300;MYSZKÓW;bd
13139;PARKOWA 4/4;59-220;LEGNICA;bd
13140;KORCZAKA 100B;87-300;BRODNICA;bd
13141;MŚCIWOJA 4/31;85-459;BYDGOSZCZ;bd
13142;CERAMICZNA 3/2;85-085;BYDGOSZCZ;bd
13143;ŚWIĘTOSŁAWA 3/18;39-200;DĘBICA;bd
13144;PODŁOSIE 23;42-504;BĘDZIN;bd
13145;CMENTARNA 23F;44-230;CZERWIONKA-LESZCZYNY;bd
13146;RYNEK 26/1;58-200;DZIERŻONIÓW;bd
13147;ALEJA 1 MAJA 2/3/7;44-120;PYSKOWICE;bd
13148;SZKOLNA 17/8A;58-200;DZIERŻONIÓW;bd
13149;TŁUKAWY 50/4;64-630;TŁUKAWY;bd
13150;TŁUKAWY 50/4;64-630;TŁUKAWY;bd
13151;OS. KOŚCIUSZKOWSKIE 11/92;31-859;KRAKÓW;bd
13152;WYZWOLENIA 58;20-368;LUBLIN;bd
13153;BOHATERÓW GETTA 20/2;58-200;DZIERŻONIÓW;bd
13154;EWANGELICKA 2/14;25-354;KIELCE;bd
13155;NA LASKI 42G;05-827;GRODZISK MAZOWIECKI;bd
13156;J.TUWIMA 1/3/17;15-950;BIAŁYSTOK;bd
13157;BÓR 7/9;42-208;CZĘSTOCHOWA;bd
13158;KORYTOWO 4;72-130;MASZEWO;bd
13159;KORYTOWO 4;72-130;MASZEWO;bd
13160;SOWLAŃSKA 38/43;15-950;BIAŁYSTOK;bd
13161;OS. KARD. STEFANA WYSZYŃSKIEGO 15/48;32-650;KĘTY;bd
13162;OSIEDLE CENTRUM E 25/11;31-934;KRAKÓW;bd
13163;SINAPIUSA 5/8;56-400;OLEŚNICA;bd
13164;ŁAGIEWNIKI 8;97-512;ŁAGIEWNIKI;bd
13165;OŚWIĘCIMSKA 26;42-700;LUBLINIEC;bd
13166;SOBIESKIEGO 6A/6;77-300;CZŁUCHÓW;bd
13167;KOLIN 19/5;73-115;DOLICE;bd
13168;KRÓTKA 3;42-311;ŻARKI-LETNISKO;bd
13169;SPIŻOWA 5/1;53-442;WROCŁAW;bd
13170;BRZOZOWA 39/3;00-258;WARSZAWA;bd
13171;WIEJSKA 2A;43-170;ŁAZISKA GÓRNE;bd
13172;TURÓW 4;66-010;TURÓW;bd
13173;ORLA 4/20;22-525;STRZYŻÓW;bd
13174;ŻYRARDOWSKA 5/16;85-780;BYDGOSZCZ;bd
13175;POWSTAŃCA LEWANDOWSKIEGO 17;64-010;KRZYWIŃ;bd
13176;ROWECKIEGO 16B/6;72-009;POLICE;bd
13177;SŁOWACKIEGO 3B/18;21-100;LUBARTÓW;bd
13178;SZCZEKARKÓW 23;21-100;LUBARTÓW;bd
13179;ZIELONA 13;24-103;ŻYRZYN;bd
13180;1 MAJA 65/3;11-130;ORNETA;bd
13181;WYGODA 8/3;63-810;WYGODA;bd
13182;WYGODA 8/3;63-810;WYGODA;bd
13183;ŁÓDZKA 40;82-300;ELBLĄG;bd
13184;SĘDOMIERSKA 6/9;05-300;MIŃSK MAZOWIECKI;bd
13185;CZESŁAWA WROCZYŃSKIEGO 3/41;21-500;BIAŁA PODLASKA;bd
13186;KUŹNICA TRZCIŃSKA 31/2;63-620;KUŹNICA TRZCIŃSKA;bd
13187;SOKOLA 22/12;26-110;SKARŻYSKO-KAMIENNA;bd
13188;DŁUGA 115;83-440;KARSIN;bd
13189;SUMIN DZIAŁKA NR EW. 4/4;22-234;URSZULIN;bd
13190;WINCENTEGO WITOSA 1B/1;21-040;ŚWIDNIK;bd
13191;KAROLA ADAMIECKIEGO 4/51;41-300;DĄBROWA GÓRNICZA;bd
13192;CHEŁMSKA 119B;22-170;REJOWIEC FABRYCZNY;bd
13193;CHEŁMSKA 119B;22-170;REJOWIEC FABRYCZNY;bd
13194;OS.CENTRUM 1/80;31-929;KRAKÓW;bd
13195;JÓZEFA WIECZORKA 12C/12;44-310;RADLIN;bd
13196;ORZYNY 34/1;12-120;ORZYNY;bd
13197;WOJCIECHA KORFANTEGO 26/4;44-310;RADLIN;bd
13198;KOLEJOWA 64D/23;22-100;CHEŁM;bd
13199;OKUNINKA DZIAŁKA 485;22-200;OKUNINKA;bd
13200;AL. WOJSKA POLSKIEGO 40/4;80-268;GDAŃSK;bd
13201;WOJSKA POLSKIEGO 168;21-200;PARCZEW;bd
13202;ORŁO 19A/10;07-320;ORŁO;bd
13203;DZIERĄŻNIA 57;22-610;DZIERĄŻNIA;bd
13204;DZIERĄŻNIA 57;22-610;DZIERĄŻNIA;bd
13205;OS. PŁK. STANISŁAWA KRÓLICKIEGO 4/22;32-650;KĘTY;bd
13206;KOLEJOWA 86/8;22-100;CHEŁM;bd
13207;WOJROWICKA 44/22;54-436;WROCŁAW;bd
13208;MIKOŁAJA KOPERNIKA 55;55-330;BRZEZINA;bd
13209;NOWA 3;64-320;BUK;bd
13210;BAGIENNA 68;32-800;BRZESKO;bd
13211;BRZEZIE K. SULECHOWA 3;66-100;BRZEZIE K. SULECHOWA;bd
13212;BRZEZIE K. SULECHOWA 3;66-100;BRZEZIE K. SULECHOWA;bd
13213;ROGALI 21/1;83-400;KOŚCIERZYNA;bd
13214;WARSZAWSKA 47/26;25-531;KIELCE;bd
13215;STANISŁAWA FLISA 1/18;10-692;OLSZTYN;bd
13216;KOCIOŁKI 7D;26-900;KOZIENICE;bd
13217;WOJSŁAWICKA 18/19;22-100;CHEŁM;bd
13218;GŁOGOWSKA 95/14;60-265;POZNAŃ;bd
13219;WOLA DROSZEWSKA 41;62-872;WOLA DROSZEWSKA;bd
13220;ŚNIADECKICH 40/66;86-300;GRUDZIĄDZ;bd
13221;BOLECHOWICE 92;26-052;BOLECHOWICE;bd
13222;SARNY MAŁE 53;49-340;LEWIN BRZESKI;bd
13223;JANA PAWŁA II 16A;26-110;MAJKÓW;bd
13224;PIOTRKOWSKA 55;26-330;ŻARNÓW;bd
13225;PIOTRKOWSKA 55;26-330;ŻARNÓW;bd
13226;POLNA 7;21-040;ŚWIDNIK;bd
13227;ŚNIADECKICH 24/34;86-300;GRUDZIĄDZ;bd
13228;SAPERSKA 50;07-300;OSTRÓW MAZOWIECKA;bd
13229;NORBERTA BARLICKIEGO 7/13;50-324;WROCŁAW;bd
13230;WŁADYSŁAWA REYMONTA 15/4;64-800;CHODZIEŻ;bd
13231;CZĄSTKÓW 74;62-650;KŁODAWA;bd
13232;WYZWOLENIA 46;89-100;PATEREK;bd
13233;GIOACCHINO ROSSINIEGO 16/20;03-289;WARSZAWA;bd
13234;ŚWINKÓW 83;63-714;ŚWINKÓW;bd
13235;KRASNA GÓRA 2A/4;49-156;KRASNA GÓRA;bd
13236;CHOPINA 80;43-600;JAWORZNO;bd
13237;RYBACKA 14/9;55-200;OŁAWA;bd
13238;TECHNIKÓW 1/37;85-801;BYDGOSZCZ;bd
13239;MICKIEWICZA 65;43-143;LĘDZINY;bd
13240;CICHA 2/8;21-080;GARBÓW;bd
13241;DĘBOGÓRA 40;74-120;WIDUCHOWA;bd
13242;AKACJOWA 1A/11;47-330;ZDZIESZOWICE;bd
13243;JAKUBOWICE 15A/6;46-262;JAKUBOWICE;bd
13244;HENRYKA SIENKIEWICZA 30/11;08-110;SIEDLCE;bd
13245;KATOWICKA 1A;46-082;KUP;bd
13246;GOSTKOWO 7C/3;77-114;GOSTKOWO;bd
13247;GADKA 114;27-220;GADKA;bd
13248;ENERGETYKÓW 8/9;93-586;ŁÓDŹ;bd
13249;WÓLKA ORŁOWSKA 114;22-375;IZBICA;bd
13250;WÓLKA ORŁOWSKA 114;22-375;IZBICA;bd
13251;KOŚCIUSZKI 108;42-300;MYSZKÓW;bd
13252;KOŁŁĄTAJA 15;44-230;CZERWIONKA-LESZCZYNY;bd
13253;BIAŁKÓW 23;68-300;LUBSKO;bd
13254;BIAŁKÓW 23;68-300;LUBSKO;bd
13255;JANA KASPROWICZA 41/232;44-103;GLIWICE;bd
13256;JELENIOGÓRSKA 37/4;80-180;GDAŃSK;bd
13257;SZKOLNA 3/4;07-311;WĄSEWO;bd
13258;MICHAŁA DRZYMAŁY 8/3;60-613;POZNAŃ;bd
13259;JANA BAŻYŃSKIEGO 13/6;82-300;ELBLĄG;bd
13260;BATOREGO 21/4;34-100;WADOWICE;bd
13261;NAPRAWA DZIAŁKA EW. 1940/10;34-240;NAPRAWA;bd
13262;KLIKOWSKA 152;33-100;TARNÓW;bd
13263;MARII SKŁODOWSKIEJ-CURIE 9/16;24-100;PUŁAWY;bd
13264;KOŚCIELNA 22/3;62-860;TŁOKINIA KOŚCIELNA;bd
13265;CZARNEGO 15;95-100;ZGIERZ;bd
13266;ALEJA WARSZAWSKA 38/8;21-002;JASTKÓW;bd
13267;POŁUDNIOWA 32;83-261;PIECE;bd
13268;SZEROKA 45;21-040;ŚWIDNIK;bd
