Lp.;Nr_umowy;Data.poczatku.okresu.ubezpieczenia;Data.konca.okresu.ubezpieczenia;SU_v_PML;Odnow;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo;Adres_Kraj;ReasekuracjaO;ReasekuracjaF
9528;M11918388104;20.12.2021;19.12.2022;2,00E+05;TAK;Wodniaków 7;08-101;Siedlce;mazowieckie;Polska;1,2;NA
9529;M11918400304;01.01.2022;31.12.2022;550000;TAK;Duba 1A;14-230;Duba;warmińsko-mazurskie;Polska;1,2;NA
9530;M1191859209;01.03.2021;28.02.2022;120000;TAK;Magiera Antoniego 19;01-856;Warszawa;mazowieckie;Polska;1,2;NA
9531;M1191921809;19.03.2021;18.03.2022;2,00E+05;TAK;Michałowo 28;87-851;Boniewo;kujawsko-pomorskie;Polska;1,2;NA
9532;M1191945109;19.03.2021;18.03.2022;140000;TAK;Gen. Rydza Śmigłego 66;65-610;Zielona Góra;lubuskie;Polska;1,2;NA
9533;M11919526204;12.12.2021;11.12.2022;340000;TAK;Odrzykońska 5;35-505;Rzeszów;podkarpackie;Polska;1,2;NA
9534;M11919708704;12.12.2021;11.12.2022;428000;TAK;Żabiniec 79;31-215;Kraków;małopolskie;Polska;1,2;NA
9535;M1191976309;01.03.2021;28.02.2022;220000;TAK;Wojciecha Żywnego 23;02-701;Warszawa;mazowieckie;Polska;1,2;NA
9536;M1192005409;17.03.2021;16.03.2022;2,00E+05;TAK;Boya Żeleńskiego Tadeusza 5;91-747;Łódź;łódzkie;Polska;1,2;NA
9537;M11920362004;17.12.2021;16.12.2022;5,00E+05;TAK;ks. Alfonsa Mańkowskiego 19A;71-690;Szczecin;zachodniopomorskie;Polska;1,2;NA
9538;M1192051109;19.03.2021;18.03.2022;256600;TAK;Dożynkowa 21A;20-223;Lublin;lubelskie;Polska;1,2;NA
9539;M1192057009;15.03.2021;14.03.2022;540000;TAK;Bobulczyn 32;64-560;Bobulczyn;wielkopolskie;Polska;1,2;NA
9540;M1192065109;02.03.2021;01.03.2022;150000;TAK;Weryhy Darowskiego 12a;30-198;Kraków;małopolskie;Polska;1,2;NA
9541;M11920706004;12.12.2021;11.12.2022;2,00E+05;TAK;Złotych Kłosów 2;11-730;Mikołajki;warmińsko-mazurskie;Polska;1,2;NA
9542;M1192071409;25.04.2021;24.04.2022;320000;TAK;Janusza Korczaka 27;59-220;Legnica;dolnośląskie;Polska;1,2;NA
9543;M1192071709;29.04.2021;28.04.2022;150000;TAK;Górnicza 47;91-705;Łódź;łódzkie;Polska;1,2;NA
9544;M11921390804;20.12.2021;19.12.2022;550000;TAK;Skierniewicka 21;01-230;Warszawa;mazowieckie;Polska;1,2;NA
9545;M11921390904;15.12.2021;14.12.2022;350000;TAK;Olszynowa 16b;62-020;Rabowice;wielkopolskie;Polska;1,2;NA
9546;M11921487104;12.12.2021;11.12.2022;2,00E+05;TAK;Mokrelipie 52;22-463;Mokrelipie;lubelskie;Polska;1,2;NA
9547;M1192206209;21.03.2021;20.03.2022;220000;TAK;Przedborska 44;26-260;Fałków;świętokrzyskie;Polska;1,2;NA
9548;M1192210009;28.02.2021;27.02.2022;140000;TAK;Sochaczewska 21;05-870;Błonie;mazowieckie;Polska;1,2;NA
9549;M1192228909;20.03.2021;19.03.2022;250000;TAK;Suwalna 9c;05-120;Legionowo;mazowieckie;Polska;1,2;NA
9550;M1192239209;01.08.2021;31.07.2022;230000;TAK;Sułkowskiego 11A;78-100;Kołobrzeg;zachodniopomorskie;Polska;1,2;NA
9551;M11922552304;17.12.2021;16.12.2022;1450000;TAK;Zygmunta Słomińskiego 17;00-195;Warszawa;mazowieckie;Polska;1,2;NA
9552;M11922560303;27.02.2021;26.02.2022;560000;TAK;Tucholska 5;64-920;Piła;wielkopolskie;Polska;1,2;NA
9553;M11922560403;02.01.2021;01.01.2022;410000;TAK;Brzezinki 16a;46-250;Brzezinki;opolskie;Polska;1,2;NA
9554;M11922560404;02.01.2022;01.01.2023;410000;TAK;Brzezinki 16a;46-250;Brzezinki;opolskie;Polska;1,2;NA
9555;M11922572104;12.12.2021;11.12.2022;633000;TAK;Pruszowice 38/10;51-217;Pruszowice;dolnośląskie;Polska;1,2;NA
9556;M11922572204;24.12.2021;23.12.2022;325000;TAK;Słoneczna 8;47-244;Dziergowice;opolskie;Polska;1,2;NA
9557;M11922737903;11.04.2021;10.04.2022;256000;TAK;Aleja 1 Dywizji Zmechanizowanej 16;05-119;Legionowo;mazowieckie;Polska;1,2;NA
9558;M11922746404;29.12.2021;28.12.2022;120000;TAK;Kazimierza Jarząbka 16;05-500;Piaseczno;mazowieckie;Polska;1,2;NA
9559;M1192287109;20.03.2021;19.03.2022;5,00E+05;TAK;Bolesława Prusa 5;12-200;Pisz;warmińsko-mazurskie;Polska;1,2;NA
9560;M1192302509;01.03.2021;28.02.2022;1,00E+05;TAK;Kolejowa 6;62-510;Konin;wielkopolskie;Polska;1,2;NA
9561;M1192303509;21.03.2021;20.03.2022;5,00E+05;TAK;Gromadzka 30d;05-504;Henryków-Urocze;mazowieckie;Polska;1,2;NA
9562;M11923063404;12.12.2021;11.12.2022;130000;TAK;Czwartaków 14;62-020;Swarzędz;wielkopolskie;Polska;1,2;NA
9563;M11923127603;03.01.2021;02.01.2022;850000;TAK;Franciszka Klimczaka 8a;02-797;Warszawa;mazowieckie;Polska;1,2;NA
9564;M11923127604;03.01.2022;02.01.2023;850000;TAK;Franciszka Klimczaka 8a;02-797;Warszawa;mazowieckie;Polska;1,2;NA
9565;M1192318209;21.03.2021;20.03.2022;526700;TAK;Głębocka 54e;03-287;Warszawa;mazowieckie;Polska;1,2;NA
9566;M1192328709;19.03.2021;18.03.2022;8,00E+05;TAK;Trześniowska 59F;20-227;Lublin;lubelskie;Polska;1,2;NA
9567;M11923289504;16.12.2021;15.12.2022;190000;TAK;Armii Krajowej 4;14-100;Ostróda;warmińsko-mazurskie;Polska;1,2;NA
9568;M1192340609;20.03.2021;19.03.2022;170000;TAK;Diamentowa 3;43-600;Jaworzno;śląskie;Polska;1,2;NA
9569;M1192341109;20.03.2021;19.03.2022;130000;TAK;Os. Słowiańskie 4F;64-510;Wronki;wielkopolskie;Polska;1,2;NA
9570;M1192343209;21.03.2021;20.03.2022;129500;TAK;2 Pułku Lotniczego 14a;31-870;Kraków;małopolskie;Polska;1,2;NA
9571;M11923483604;12.12.2021;11.12.2022;210000;TAK;Fabryczna 11;48-100;Głubczyce;opolskie;Polska;1,2;NA
9572;M1192360409;20.03.2021;19.03.2022;395000;TAK;Al. Wyzwolenia 8;00-572;Warszawa;mazowieckie;Polska;1,2;NA
9573;M11924088004;20.12.2021;19.12.2022;220000;TAK;Belwederska 79a;99-100;Łęczyca;łódzkie;Polska;1,2;NA
9574;M1192455009;22.03.2021;21.03.2022;54400;TAK;Dworcowa 50B;86-320;Łasin;kujawsko-pomorskie;Polska;1,2;NA
9575;M1192455409;20.03.2021;19.03.2022;2,00E+05;TAK;Matejki 40B;72-600;Świnoujście;zachodniopomorskie;Polska;1,2;NA
9576;M11924659704;12.12.2021;11.12.2022;150000;TAK;Leśmierz 39;95-035;Leśmierz;łódzkie;Polska;1,2;NA
9577;M11924679204;12.12.2021;11.12.2022;310000;TAK;Leszczynowa 94B;80-175;Gdańsk;pomorskie;Polska;1,2;NA
9578;M1192479309;20.03.2021;19.03.2022;350000;TAK;Jagodowa 34;43-186;Orzesze;śląskie;Polska;1,2;NA
9579;M11925203104;27.12.2021;26.12.2022;290000;TAK;Miła 1a;73-110;Stargard;zachodniopomorskie;Polska;1,2;NA
9580;M1192560009;17.02.2021;16.02.2022;310000;TAK;Krakowska 8;05-400;Otwock;mazowieckie;Polska;1,2;NA
9581;M1192568309;21.03.2021;20.03.2022;450000;TAK;Olchowa 54b;44-144;Żernica;śląskie;Polska;1,2;NA
9582;M11925750204;20.12.2021;19.12.2022;425000;TAK;"Bronisława Pietraszewicza ""Lota"" 11";02-790;Warszawa;mazowieckie;Polska;1,2;NA
9583;M11925752104;21.12.2021;20.12.2022;180000;TAK;Bronisława Jamontta 1;87-100;Toruń;kujawsko-pomorskie;Polska;1,2;NA
9584;M1192590709;01.03.2021;28.02.2022;140000;TAK;Mickiewicza 19;05-520;Konstancin-Jeziorna;mazowieckie;Polska;1,2;NA
9585;M1192607809;22.03.2021;21.03.2022;512000;TAK;Ząbkowska 18;03-735;Warszawa;mazowieckie;Polska;1,2;NA
9586;M1192631409;22.03.2021;21.03.2022;145000;TAK;Os. Powstańców Śląskich 11i;44-240;Żory;śląskie;Polska;1,2;NA
9587;M1192637509;21.03.2021;20.03.2022;7,00E+05;TAK;Wyzwolenia 164;43-365;Wilkowice;śląskie;Polska;1,2;NA
9588;M1192637909;18.02.2021;17.02.2022;460000;TAK;Michała Archanioła 8;41-800;Zabrze;śląskie;Polska;1,2;NA
9589;M1192642009;13.03.2021;12.03.2022;360000;TAK;Biruty 8;03-504;Warszawa;mazowieckie;Polska;1,2;NA
9590;M11926422904;01.01.2022;31.12.2022;510000;TAK;Zimnowoda 121B;42-164;Zimnowoda;śląskie;Polska;1,2;NA
9591;M1192667209;10.04.2021;09.04.2022;190000;TAK;Kolista 33;40-486;Katowice;śląskie;Polska;1,2;NA
9592;M11927508404;12.12.2021;11.12.2022;410000;TAK;Korytnicka 23/25;04-085;Warszawa;mazowieckie;Polska;1,2;NA
9593;M11928485704;12.12.2021;11.12.2022;5,00E+05;TAK;Roków 44a;34-100;Roków;małopolskie;Polska;1,2;NA
9594;M11928743204;13.12.2021;12.12.2022;285000;TAK;Adama Asnyka 14;15-709;Białystok;podlaskie;Polska;1,2;NA
9595;M1192929409;20.03.2021;19.03.2022;120000;TAK;Górnicza 1;43-225;Wola;śląskie;Polska;1,2;NA
9596;M1192963309;01.06.2021;31.05.2022;240000;TAK;11 Pułku Piechoty 89;78-500;Drawsko Pomorskie;zachodniopomorskie;Polska;1,2;NA
9597;M1192983209;01.03.2021;28.02.2022;420000;TAK;Hejnałowa 9;02-216;Warszawa;mazowieckie;Polska;1,2;NA
9598;M1193023109;23.02.2021;22.02.2022;320000;TAK;Jana Kilińskiego (Wesoła) 31;05-075;Warszawa;mazowieckie;Polska;1,2;NA
9599;M11930384404;12.12.2021;11.12.2022;705000;TAK;Malborska 3;03-286;Warszawa;mazowieckie;Polska;1,2;NA
9600;M11930447504;13.12.2021;12.12.2022;3,00E+05;TAK;Niska 19;01-036;Warszawa;mazowieckie;Polska;1,2;NA
9601;M11930452604;18.12.2021;17.12.2022;260000;TAK;Braci Mieroszewskich 71a;41-219;Sosnowiec;śląskie;Polska;1,2;NA
9602;M1193048309;18.02.2021;17.02.2022;420000;TAK;Bagno 3;00-112;Warszawa;mazowieckie;Polska;1,2;NA
9603;M11931137604;14.12.2021;13.12.2022;380000;TAK;Grzegorza Kunawina 20;16-200;Dąbrowa Białostocka;podlaskie;Polska;1,2;NA
9604;M11931253003;08.01.2021;07.01.2022;270000;TAK;Bolesława Chrobrego 4;60-681;Poznań;wielkopolskie;Polska;1,2;NA
9605;M11931253004;08.01.2022;07.01.2023;270000;TAK;Bolesława Chrobrego 4;60-681;Poznań;wielkopolskie;Polska;1,2;NA
9606;M11931277904;18.12.2021;17.12.2022;420000;TAK;Tytusa Chałubińskiego 56;44-105;Gliwice;śląskie;Polska;1,2;NA
9607;M11931384704;01.01.2022;31.12.2022;320000;TAK;XXX Lecia 30;89-333;Osiek nad Notecią;wielkopolskie;Polska;1,2;NA
9608;M11931493804;13.12.2021;12.12.2022;3,00E+05;TAK;Leśna 38a;48-317;Włodary;opolskie;Polska;1,2;NA
9609;M11931509804;13.12.2021;12.12.2022;160000;TAK;1 Maja 8;74-200;Pyrzyce;zachodniopomorskie;Polska;1,2;NA
9610;M11931517804;14.12.2021;13.12.2022;760000;TAK;Bukowińska 12;02-703;Warszawa;mazowieckie;Polska;1,2;NA
9611;M11932255904;01.01.2022;31.12.2022;204000;TAK;Wspólna 19;64-510;Wronki;wielkopolskie;Polska;1,2;NA
9612;M1193253409;18.02.2021;17.02.2022;350000;TAK;Orańska 1b;80-287;Gdańsk;pomorskie;Polska;1,2;NA
9613;M11933165404;28.12.2021;27.12.2022;188000;TAK;Pionierów 13;84-300;Lębork;pomorskie;Polska;1,2;NA
9614;M11933392404;19.12.2021;18.12.2022;270000;TAK;Parkowa 7;72-100;Białuń;zachodniopomorskie;Polska;1,2;NA
9615;M11933403704;13.12.2021;12.12.2022;445000;TAK;Stefana Drzewieckiego 23;54-129;Wrocław;dolnośląskie;Polska;1,2;NA
9616;M1193341509;01.03.2021;28.02.2022;340000;TAK;Pirenejska 10;01-493;Warszawa;mazowieckie;Polska;1,2;NA
9617;M11933524304;13.12.2021;12.12.2022;610000;TAK;Orłowska 22;71-893;Szczecin;zachodniopomorskie;Polska;1,2;NA
9618;M1193394109;05.03.2021;04.03.2022;430000;TAK;Żurawicka 21a;02-495;Warszawa;mazowieckie;Polska;1,2;NA
9619;M11934081104;14.12.2021;13.12.2022;160000;TAK;Małe Gliśno 19;89-632;Małe Gliśno;pomorskie;Polska;1,2;NA
9620;M11934242504;20.12.2021;19.12.2022;220000;TAK;Wesoła 8A;26-200;Rogów;świętokrzyskie;Polska;1,2;NA
9621;M11934261604;31.12.2021;30.12.2022;465000;TAK;Waszyngtońska 7/3;15-523;Grabówka;podlaskie;Polska;1,2;NA
9622;M11934274104;18.12.2021;17.12.2022;420900;TAK;Korzenna 485;33-322;Korzenna;małopolskie;Polska;1,2;NA
9623;M1193432009;01.03.2021;28.02.2022;240000;TAK;Chełmońskiego 34;59-900;Zgorzelec;dolnośląskie;Polska;1,2;NA
9624;M1193442009;01.03.2021;28.02.2022;590000;TAK;Myśliborska 24;03-185;Warszawa;mazowieckie;Polska;1,2;NA
9625;M1193442809;30.03.2021;29.03.2022;405000;TAK;Skiby 15b;26-060;Chęciny;świętokrzyskie;Polska;1,2;NA
9626;M11934435004;13.12.2021;12.12.2022;410000;TAK;Miła 43;06-300;Przasnysz;mazowieckie;Polska;1,2;NA
9627;M1193451709;12.09.2021;11.09.2022;210000;TAK;Cedyńska 10;71-667;Szczecin;zachodniopomorskie;Polska;1,2;NA
9628;M1193477309;02.07.2021;01.07.2022;590000;TAK;Ogrodowa 16;05-840;Brwinów;mazowieckie;Polska;1,2;NA
9629;M11934997104;01.01.2022;31.12.2022;540000;TAK;Kościuszki 47B;44-160;Bojszów;śląskie;Polska;1,2;NA
9630;M1193511909;30.03.2021;29.03.2022;2,00E+05;TAK;Mickiewicza 27A;63-900;Rawicz;wielkopolskie;Polska;1,2;NA
9631;M1193532909;01.04.2021;31.03.2022;210000;TAK;Klaudyny 34;01-684;Warszawa;mazowieckie;Polska;1,2;NA
9632;M1193540509;22.03.2021;21.03.2022;519294;TAK;Gdańska 26A;14-260;Lubawa;warmińsko-mazurskie;Polska;1,2;NA
9633;M1193540709;22.03.2021;21.03.2022;260000;TAK;Brzozowa 33;85-154;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;NA
9634;M1193541909;24.03.2021;23.03.2022;63000;TAK;Morskie Oko 4;43-300;Bielsko-Biała;śląskie;Polska;1,2;NA
9635;M11935446404;18.12.2021;17.12.2022;370000;TAK;Kaliska 50A;99-100;Łęczyca;łódzkie;Polska;1,2;NA
9636;M1193546109;21.03.2021;20.03.2022;160000;TAK;Średnia 43;41-922;Radzionków;śląskie;Polska;1,2;NA
9637;M1193548109;02.03.2021;01.03.2022;3,00E+05;TAK;Magnacka 10;02-496;Warszawa;mazowieckie;Polska;1,2;NA
9638;M11935493004;13.12.2021;12.12.2022;265000;TAK;Ferdynanda Magellana 8;51-505;Wrocław;dolnośląskie;Polska;1,2;NA
9639;M1193552309;24.03.2021;23.03.2022;175000;TAK;Szafranowa 27D;81-591;Gdynia;pomorskie;Polska;1,2;NA
9640;M1193553109;24.03.2021;23.03.2022;140000;TAK;Ludowa 52;58-304;Wałbrzych;dolnośląskie;Polska;1,2;NA
9641;M1193575109;30.03.2021;29.03.2022;150000;TAK;Dworcowa 36;10-437;Olsztyn;warmińsko-mazurskie;Polska;1,2;NA
9642;M1193630509;05.03.2021;04.03.2022;220000;TAK;Dworska 19;41-800;Zabrze;śląskie;Polska;1,2;NA
9643;M11936312104;15.12.2021;14.12.2022;370000;TAK;Blizianka 107;38-114;Blizianka;podkarpackie;Polska;1,2;NA
9644;M11936356604;29.12.2021;28.12.2022;119642;TAK;Piotra Baryki 3;81-198;Pogórze;pomorskie;Polska;1,2;NA
9645;M11936409104;13.12.2021;12.12.2022;305000;TAK;Kamienna 26;64-920;Piła;wielkopolskie;Polska;1,2;NA
9646;M11937296604;13.12.2021;12.12.2022;425000;TAK;Władysława Broniewskiego 17;13-200;Działdowo;warmińsko-mazurskie;Polska;1,2;NA
9647;M11937437604;13.12.2021;12.12.2022;235000;TAK;Żorska 95;43-100;Tychy;śląskie;Polska;1,2;NA
9648;M11937460404;15.12.2021;14.12.2022;150000;TAK;Uniwersytecka 4;02-036;Warszawa;mazowieckie;Polska;1,2;NA
9649;M11937473503;08.01.2021;07.01.2022;50000;TAK;Szeroki Bór Piski 97;12-200;Szeroki Bór Piski;warmińsko-mazurskie;Polska;1,2;NA
9650;M11937473504;08.01.2022;07.01.2023;50000;TAK;Szeroki Bór Piski 97;12-200;Szeroki Bór Piski;warmińsko-mazurskie;Polska;1,2;NA
9651;M11937482004;15.12.2021;14.12.2022;360000;TAK;Szosa Rypińska 32A;87-400;Golub-Dobrzyń;kujawsko-pomorskie;Polska;1,2;NA
9652;M11938032604;13.12.2021;12.12.2022;250000;TAK;Straszęcin 238;39-218;Straszęcin;podkarpackie;Polska;1,2;NA
9653;M11938038103;10.01.2021;09.01.2022;140000;TAK;Glinik Polski 164;38-204;Glinik Polski;podkarpackie;Polska;1,2;NA
9654;M11938038104;10.01.2022;09.01.2023;140000;TAK;Glinik Polski 164;38-204;Glinik Polski;podkarpackie;Polska;1,2;NA
9655;M11938043303;01.02.2021;31.01.2022;350000;TAK;Bazaltowa 7;55-080;Smolec;dolnośląskie;Polska;1,2;NA
9656;M11938045504;14.12.2021;13.12.2022;290000;TAK;Ks. Zenona Willi 7b;62-100;Wągrowiec;wielkopolskie;Polska;1,2;NA
9657;M11938058603;16.01.2021;15.01.2022;650000;TAK;Role 235b;34-200;Sucha Beskidzka;małopolskie;Polska;1,2;NA
9658;M11938058604;16.01.2022;15.01.2023;650000;TAK;Role 235b;34-200;Sucha Beskidzka;małopolskie;Polska;1,2;NA
9659;M11938059203;16.01.2021;15.01.2022;460000;TAK;Role 13/2;34-200;Sucha Beskidzka;małopolskie;Polska;1,2;NA
9660;M11938059204;16.01.2022;15.01.2023;460000;TAK;Role 13/2;34-200;Sucha Beskidzka;małopolskie;Polska;1,2;NA
9661;M11938126504;13.12.2021;12.12.2022;340000;TAK;Mariana Smoluchowskiego 7;80-214;Gdańsk;pomorskie;Polska;1,2;NA
9662;M1193849409;26.03.2021;25.03.2022;230000;TAK;Biała Rządowa 174f;98-350;Biała Rządowa;łódzkie;Polska;1,2;NA
9663;M1193856909;24.03.2021;23.03.2022;240000;TAK;Borowej Góry 7;01-354;Warszawa;mazowieckie;Polska;1,2;NA
9664;M11938694203;09.01.2021;08.01.2022;580000;TAK;Os. Tygrysie 18B;62-023;Dachowa;wielkopolskie;Polska;1,2;NA
9665;M11938694204;09.01.2022;08.01.2023;580000;TAK;Os. Tygrysie 18B;62-023;Dachowa;wielkopolskie;Polska;1,2;NA
9666;M1193877909;01.04.2021;31.03.2022;140000;TAK;Altanowa 1;53-425;Wrocław;dolnośląskie;Polska;1,2;NA
9667;M1193881409;26.03.2021;25.03.2022;116000;TAK;Lwowska 25;59-620;Gryfów Śląski;dolnośląskie;Polska;1,2;NA
9668;M1193882909;27.03.2021;26.03.2022;80000;TAK;Miodowa 21;09-400;Płock;mazowieckie;Polska;1,2;NA
9669;M1193883609;13.03.2021;12.03.2022;140000;TAK;Jezioro 28;32-600;Zaborze;małopolskie;Polska;1,2;NA
9670;M1193885209;21.06.2021;20.06.2022;640000;TAK;Elizy Orzeszkowej 16;83-032;Pszczółki;pomorskie;Polska;1,2;NA
9671;M1193892009;01.03.2021;28.02.2022;6,00E+05;TAK;Wojska Polskiego 23;42-506;Będzin;śląskie;Polska;1,2;NA
9672;M1193892709;24.03.2021;23.03.2022;4,00E+05;TAK;Mikołaja Reja 27;67-200;Głogów;dolnośląskie;Polska;1,2;NA
9673;M1193900809;26.03.2021;25.03.2022;440000;TAK;Nowe Gulczewo ul. Jana III Sobieskiego 20;09-410;Płock;mazowieckie;Polska;1,2;NA
9674;M1193901109;26.03.2021;25.03.2022;240000;TAK;Orląt Lwowskich 17;31-518;Kraków;małopolskie;Polska;1,2;NA
9675;M1193916109;01.03.2021;28.02.2022;6,00E+05;TAK;Bosmańska 3;04-613;Warszawa;mazowieckie;Polska;1,2;NA
9676;M1193916309;01.03.2021;28.02.2022;2,00E+05;TAK;Udórz 79;42-439;Udórz;śląskie;Polska;1,2;NA
9677;M1193927909;25.03.2021;24.03.2022;220000;TAK;Czecha Bronisława 2;41-936;Bytom;śląskie;Polska;1,2;NA
9678;M1193929409;10.03.2021;09.03.2022;150000;TAK;Mochnackiego Maurycego 4;02-042;Warszawa;mazowieckie;Polska;1,2;NA
9679;M1193957909;30.03.2021;29.03.2022;1110000;TAK;Stryjeńskich 10;02-791;Warszawa;mazowieckie;Polska;1,2;NA
9680;M11939695104;01.01.2022;31.12.2022;350000;TAK;Petrykozy 68;26-307;Petrykozy;łódzkie;Polska;1,2;NA
9681;M1193979409;27.03.2021;26.03.2022;9,00E+05;TAK;Pegaza 36b;71-790;Szczecin;zachodniopomorskie;Polska;1,2;NA
9682;M11939801204;13.12.2021;12.12.2022;320000;TAK;Potocka 37;01-631;Warszawa;mazowieckie;Polska;1,2;NA
9683;M11939802104;13.12.2021;12.12.2022;220000;TAK;Henryka Sienkiewicza 62;42-400;Zawiercie;śląskie;Polska;1,2;NA
9684;M11939802703;28.01.2021;27.01.2022;150000;TAK;Bednarska 20;00-321;Warszawa;mazowieckie;Polska;1,2;NA
9685;M11939826103;01.02.2021;31.01.2022;830000;TAK;Kalinowa 12;05-830;Nadarzyn;mazowieckie;Polska;1,2;NA
9686;M11939826504;14.12.2021;13.12.2022;260000;TAK;Starzenice 32;98-300;Starzenice;łódzkie;Polska;1,2;NA
9687;M1193983109;26.03.2021;25.03.2022;270000;TAK;Kosmonautów 4;42-288;Strzebiń;śląskie;Polska;1,2;NA
9688;M11939832304;14.12.2021;13.12.2022;8,00E+05;TAK;Warniki 13B;66-470;Kostrzyn nad Odrą;lubuskie;Polska;1,2;NA
9689;M11939851704;22.12.2021;21.12.2022;770000;TAK;Ignacego Kraszewskiego 19;82-300;Elbląg;warmińsko-mazurskie;Polska;1,2;NA
9690;M11939865903;20.01.2021;19.01.2022;95000;TAK;Dworcowa 10;39-300;Mielec;podkarpackie;Polska;1,2;NA
9691;M11939956004;23.12.2021;22.12.2022;665607;TAK;Marsa 14a;83-010;Straszyn;pomorskie;Polska;1,2;NA
9692;M11939959103;10.01.2021;09.01.2022;230000;TAK;Władysława Smoleńskiego 27;01-698;Warszawa;mazowieckie;Polska;1,2;NA
9693;M11939959104;10.01.2022;09.01.2023;230000;TAK;Władysława Smoleńskiego 27;01-698;Warszawa;mazowieckie;Polska;1,2;NA
9694;M11939971104;14.12.2021;13.12.2022;250000;TAK;Dąbrowskiego 24;42-660;Kalety;śląskie;Polska;1,2;NA
9695;M1194059909;27.03.2021;26.03.2022;430000;TAK;Łąkowa 5B;62-090;Kiekrz;wielkopolskie;Polska;1,2;NA
9696;M1194072509;29.03.2021;28.03.2022;140000;TAK;Pogodna 3;87-800;Włocławek;kujawsko-pomorskie;Polska;1,2;NA
9697;M1194101309;01.04.2021;31.03.2022;7,00E+05;TAK;Juliusza Słowackiego 38/46;01-634;Warszawa;mazowieckie;Polska;1,2;NA
9698;M1194139909;27.03.2021;26.03.2022;265000;TAK;Wygoda 46A;08-440;Wygoda;mazowieckie;Polska;1,2;NA
9699;M11942026304;17.12.2021;16.12.2022;310000;TAK;Wyszogrodzka 10c;09-100;Skarżyn;mazowieckie;Polska;1,2;NA
9700;M1194204309;31.03.2021;30.03.2022;190000;TAK;Gwiezdna 6;41-219;Sosnowiec;śląskie;Polska;1,2;NA
9701;M1194210609;07.08.2021;06.08.2022;420000;TAK;Zielona 22;26-200;Modliszewice;świętokrzyskie;Polska;1,2;NA
9702;M1194220209;26.03.2021;25.03.2022;190000;TAK;Dąbrowszczaków 20;62-020;Swarzędz;wielkopolskie;Polska;1,2;NA
9703;M1194250609;26.03.2021;25.03.2022;325000;TAK;Korobowska 17;05-600;Grójec;mazowieckie;Polska;1,2;NA
9704;M1194252509;15.03.2021;14.03.2022;2,00E+05;TAK;Zielarska 118d;62-064;Plewiska;wielkopolskie;Polska;1,2;NA
9705;M1194253909;26.03.2021;25.03.2022;75000;TAK;Piaskowa 8A;11-700;Mrągowo;warmińsko-mazurskie;Polska;1,2;NA
9706;M11942605904;13.12.2021;12.12.2022;1092000;TAK;Jana Olbrachta 23b;01-102;Warszawa;mazowieckie;Polska;1,2;NA
9707;M1194265109;21.02.2021;20.02.2022;473000;TAK;Brązownicza 1a;01-929;Warszawa;mazowieckie;Polska;1,2;NA
9708;M1194265509;26.03.2021;25.03.2022;371000;TAK;Wrzosowa 26;41-250;Czeladź;śląskie;Polska;1,2;NA
9709;M1194291309;27.03.2021;26.03.2022;370000;TAK;Podrzecze 21;63-800;Gostyń;wielkopolskie;Polska;1,2;NA
9710;M1194307009;26.03.2021;25.03.2022;1,00E+05;TAK;Piastowska 9;58-400;Kamienna Góra;dolnośląskie;Polska;1,2;NA
9711;M11943818804;18.12.2021;17.12.2022;440000;TAK;Zawady 2;17-100;Zawady;podlaskie;Polska;1,2;NA
9712;M1194432309;06.03.2021;05.03.2022;230000;TAK;Kościuszki 43;38-500;Sanok;podkarpackie;Polska;1,2;NA
9713;M1194434109;01.03.2021;28.02.2022;290000;TAK;Dobra 5;08-400;Garwolin;mazowieckie;Polska;1,2;NA
9714;M11944463804;19.12.2021;18.12.2022;310000;TAK;Baczyńskiego 7;97-500;Radomsko;łódzkie;Polska;1,2;NA
9715;M11944892804;16.12.2021;15.12.2022;390000;TAK;Przecław 99c;72-005;Przecław;zachodniopomorskie;Polska;1,2;NA
9716;M1194507809;12.03.2021;11.03.2022;560000;TAK;Ogrodowa 36;64-800;Chodzież;wielkopolskie;Polska;1,2;NA
9717;M1194510909;18.02.2021;17.02.2022;3,00E+05;TAK;Iglasta 6a;98-100;Łask;łódzkie;Polska;1,2;NA
9718;M11945216804;14.12.2021;13.12.2022;185000;TAK;Kmicica 28;59-100;Polkowice;dolnośląskie;Polska;1,2;NA
9719;M1194553109;29.03.2021;28.03.2022;390000;TAK;Niepodległości 40a;62-030;Luboń;wielkopolskie;Polska;1,2;NA
9720;M1194556009;27.03.2021;26.03.2022;175000;TAK;Marii Konopnickiej 1;59-600;Lwówek Śląski;dolnośląskie;Polska;1,2;NA
9721;M1194556709;27.03.2021;26.03.2022;235000;TAK;Źródłowa 44;91-735;Łódź;łódzkie;Polska;1,2;NA
9722;M11946023904;30.12.2021;29.12.2022;370000;TAK;Leonida Teligi 2B;87-100;Toruń;kujawsko-pomorskie;Polska;1,2;NA
9723;M11947183504;14.12.2021;13.12.2022;190000;TAK;Edwarda Stachury 3;86-300;Grudziądz;kujawsko-pomorskie;Polska;1,2;NA
9724;M11947212504;14.12.2021;13.12.2022;5,00E+05;TAK;Dobiecin 2a;05-650;Dobiecin;mazowieckie;Polska;1,2;NA
